interval_loinc_code,UCUM_unit,low_reportable_limit,high_reportable_limit
100158-5,mg/dL,0,3951
100745-9,meq/L,10,222
101198-0,g/dL,0.0001,14
10334-1,U/mL,0,35146
10535-3,ng/mL,0,12
10834-0,g/dL,0.0001,22
11218-5,mg/dL,0,3951
11253-2,ng/mL,0,74
11555-0,meq/L,-715,489
11556-8,mm[Hg],0.0001,1371
11557-6,mm[Hg],0.0001,369
11558-4,,6,13
11579-0,u[IU]/mL,0.0001,613
11580-8,u[IU]/mL,0.0001,613
12180-6,mmol/L,0.0001,7
12842-1,mg/dL,0,18315
12951-0,mg/dL,0.0001,18744
12961-9,mg/dL,0.0001,458
12962-7,mg/dL,0.0001,458
12963-5,mg/dL,0.0001,458
12967-6,mg/dL,0,3446
13056-7,10*3/uL,0.0001,4481
13457-7,mg/dL,0.0001,996
13536-8,g/dL,0.0001,22
13537-6,g/dL,0.0001,28
13705-9,mg/g,0,43935
13801-6,{ratio},0,533
13945-1,/[HPF],0,1500
13959-2,mmol/L,0.0001,7
13969-1,ng/mL,0,1009
14135-8,/uL,0,47174
14196-0,10*6/uL,0,2
14196-0,%,0,58
14336-2,mg/dL,0,1104
14627-4,meq/L,0.0001,163
14775-1,g/dL,0.0001,37
14804-9,[IU]/L,0.0001,94981
14805-6,[IU]/L,0.0001,94981
14897-3,g/dL,0.0001,28
14957-5,mg/dL,0,3951
14958-3,mg/g,0,43935
14959-1,mg/g,0,43935
14978-1,ng/mL,0,2649
14979-9,s,1,297
15153-0,mg/dL,0,44
15157-1,U/mL,0,35146
16551-4,meq/L,0.0001,171
16695-9,pg/mL,0.0001,2982
16703-1,ng/mL,0,2649
1742-6,[IU]/L,0.0001,38190
1743-4,[IU]/L,0.0001,38190
1744-2,[IU]/L,0.0001,38190
1751-7,g/dL,0.0001,14
1754-1,mg/dL,0,3951
1783-0,[IU]/L,0.0001,8948
17842-6,U/mL,0,30133
17855-8,%,0.0001,33
17856-6,%,0.0001,33
17861-6,mg/dL,0.0001,51
1798-8,[IU]/L,0.0001,10155
18182-6,mosm/kg,100,649
18184-2,mm/h,0,225
18262-6,mg/dL,0.0001,996
18264-2,mg/dL,0,102
18309-5,%,0,1562
1834-1,ng/mL,0,2451000
1863-0,meq/L,-80,148
19048-8,%,0,1562
19080-1,m[IU]/mL,0,1315055
19123-9,mg/dL,0.0001,71
1920-8,[IU]/L,0.0001,63909
19211-2,mm[Hg],0.0001,1371
19212-0,mm[Hg],0.0001,369
19213-8,,6,13
19223-7,meq/L,0.0001,171
19229-4,meq/L,0.0001,163
19234-4,meq/L,-715,489
19239-3,mmol/L,0.0001,78
19240-1,mmol/L,0.0001,78
1925-7,meq/L,-715,489
1926-5,meq/L,-715,489
1927-3,meq/L,-715,489
1959-6,meq/L,0.0001,163
1960-4,meq/L,0.0001,163
1961-2,meq/L,0.0001,163
1962-0,meq/L,0.0001,163
1963-8,meq/L,0.0001,163
1968-7,mg/dL,0,102
1971-1,mg/dL,0,44
1975-2,mg/dL,0,131
19878-8,mm[Hg],0.0001,369
19879-6,mm[Hg],0.0001,369
1988-5,mg/L,0.0001,912
19880-4,mm[Hg],0.0001,369
19881-2,mm[Hg],0.0001,369
1989-3,ng/mL,0.0001,277
1994-3,mmol/L,0.0001,7
1995-0,mmol/L,0.0001,7
19980-2,mm[Hg],0.0001,1371
19981-0,mm[Hg],0.0001,1371
19982-8,mm[Hg],0.0001,1371
19983-6,mm[Hg],0.0001,1371
2019-8,mm[Hg],0.0001,369
2020-6,mm[Hg],0.0001,369
2021-4,mm[Hg],0.0001,369
2026-3,meq/L,0.0001,171
2027-1,meq/L,0.0001,171
2028-9,meq/L,0.0001,171
2039-6,ng/mL,0,74389
20482-6,/uL,0,359550
20509-6,g/dL,0.0001,37
20565-8,meq/L,0.0001,171
20567-4,ng/mL,0.0001,760050
20568-2,ng/mL,0.0001,17970
20577-3,g/dL,0.0001,28
20578-1,ug/mL,0,529
20624-3,mg/dL,0,1739
2069-3,meq/L,10,222
2075-0,meq/L,10,222
2078-4,meq/L,0.0001,466
2085-9,mg/dL,0,503
2086-7,mg/dL,0,503
2089-1,mg/dL,0.0001,996
2090-9,mg/dL,0.0001,996
2093-3,mg/dL,0.0001,2278
20941-1,mg/dL,0.0001,57
21000-5,fL,0.0001,260
21059-1,mg/dL,0,3951
21194-6,meq/L,0.0001,466
21232-4,mg/dL,0.0001,120
2132-9,pg/mL,0.0001,2982
21377-7,mg/dL,0.0001,71
2143-6,ug/dL,0.0001,4210
21476-7,meq/L,0.0001,221
